series,start_date,end_date,n_periods,first_value,last_value,min,max,mean,std,total_change,pct_change,trend
RPI,2014-12-01,2016-11-01,24,13730.4151,14697.5955,13730.4151,14697.5955,14213.1072,298.1311,967.1804,7.04,↑ Up
W875RX1,2014-12-01,2016-11-01,24,11382.8951,12188.6535,11382.8951,12188.6535,11790.4046,248.1977,805.7585,7.08,↑ Up
DPCERA3M086SBEA,2014-12-01,2016-11-01,24,113.465,121.6045,113.465,121.6045,117.5531,2.4985,8.1395,7.17,↑ Up
CMRMTSPLx,2014-12-01,2016-11-01,24,1200061.1633,1313411.4386,1200061.1633,1313411.4386,1261785.4172,34539.4415,113350.2753,9.45,↑ Up
RETAILx,2014-12-01,2016-11-01,24,452582.8586,521785.223,452582.8586,521785.223,488444.614,21090.0629,69202.3644,15.29,↑ Up
INDPRO,2014-12-01,2016-11-01,24,107.2223,118.8084,107.2223,118.8084,113.6229,3.5329,11.586,10.81,↑ Up
IPFPNSS,2014-12-01,2016-11-01,24,100.7554,110.8594,100.7554,110.8594,106.2973,3.0812,10.104,10.03,↑ Up
IPFINAL,2014-12-01,2016-11-01,24,103.2986,113.9752,103.2986,113.9752,109.1559,3.2565,10.6766,10.34,↑ Up
IPCONGD,2014-12-01,2016-11-01,24,100.0763,108.328,100.0763,108.328,104.648,2.5138,8.2517,8.25,↑ Up
IPDCONGD,2014-12-01,2016-11-01,24,106.7261,125.2354,106.7261,125.2354,117.2871,5.6459,18.5094,17.34,↑ Up
IPNCONGD,2014-12-01,2016-11-01,24,98.6296,104.0485,98.6296,104.0485,101.5364,1.6536,5.4189,5.49,↑ Up
IPBUSEQ,2014-12-01,2016-11-01,24,110.7821,129.7768,110.7821,129.7768,121.0868,5.8022,18.9947,17.15,↑ Up
IPMAT,2014-12-01,2016-11-01,24,115.4254,129.1007,115.4254,129.1007,123.0287,4.1703,13.6753,11.85,↑ Up
IPDMAT,2014-12-01,2016-11-01,24,119.6245,139.6894,119.6245,139.6894,130.6955,6.1158,20.0649,16.77,↑ Up
IPNMAT,2014-12-01,2016-11-01,24,92.4395,101.613,92.4395,101.613,97.6523,2.792,9.1735,9.92,↑ Up
IPMANSICS,2014-12-01,2016-11-01,24,102.8176,114.943,102.8176,114.943,109.5316,3.6955,12.1254,11.79,↑ Up
IPB51222S,2014-12-01,2016-11-01,24,106.6214,110.9234,106.6214,110.9234,108.4977,1.353,4.302,4.03,↑ Up
IPFUELS,2014-12-01,2016-11-01,24,114.9577,121.27,114.9577,121.27,118.347,1.9414,6.3124,5.49,↑ Up
CUMFNS,2014-12-01,2016-11-01,24,78.6504,82.8656,78.6504,82.8656,81.3577,1.2818,4.2152,5.36,↑ Up
CLF16OV,2014-12-01,2016-11-01,24,156558.3253,160884.003,156558.3253,160884.003,158649.8881,1336.6648,4325.6778,2.76,↑ Up
CE16OV,2014-12-01,2016-11-01,24,147502.7035,152783.8534,147502.7035,152783.8534,150209.0357,1619.9557,5281.1499,3.58,↑ Up
UNRATE,2014-12-01,2016-11-01,24,5.76,5.031,5.031,5.76,5.3105,0.2218,-0.729,-12.66,↓ Down
UEMPMEAN,2014-12-01,2016-11-01,24,33.105,34.0312,33.105,34.0312,33.7066,0.2782,0.9261,2.8,↑ Up
UEMPLT5,2014-12-01,2016-11-01,24,2517.6015,2407.172,2407.172,2517.6015,2438.665,33.5554,-110.4295,-4.39,↓ Down
